iter	Passed	Remaining
0	161	161480
1	162	81254
2	163	54483
3	165	41085
4	166	33224
5	168	27840
6	169	23989
7	170	21105
8	171	18873
9	172	17084
10	173	15635
11	176	14553
12	178	13522
13	179	12644
14	180	11879
15	182	11199
16	183	10601
17	184	10072
18	186	9618
19	187	9186
20	188	8802
21	190	8452
22	191	8128
23	192	7839
24	194	7576
25	195	7330
26	196	7096
27	198	6881
28	200	6696
29	201	6507
30	202	6328
31	203	6163
32	205	6009
33	207	5881
34	208	5739
35	209	5610
36	210	5486
37	211	5366
38	213	5252
39	214	5152
40	215	5050
41	217	4953
42	218	4860
43	219	4771
44	220	4688
45	222	4608
46	223	4530
47	224	4455
48	225	4383
49	227	4315
50	228	4255
51	229	4192
52	231	4134
53	232	4075
54	233	4019
55	235	3964
56	236	3910
57	237	3857
58	238	3809
59	240	3761
60	241	3716
61	243	3677
62	244	3634
63	245	3592
64	246	3552
65	248	3513
66	249	3474
67	250	3427
68	251	3391
69	252	3356
70	253	3322
71	256	3312
72	261	3321
73	263	3296
74	264	3263
75	265	3230
76	266	3198
77	267	3166
78	269	3136
79	270	3107
80	271	3077
81	272	3048
82	274	3037
83	276	3010
84	276	2980
85	278	2956
86	279	2927
87	280	2905
88	281	2885
89	283	2863
90	284	2842
91	285	2821
92	287	2802
93	289	2791
94	291	2772
95	292	2753
96	293	2734
97	295	2716
98	296	2697
99	297	2680
100	299	2663
101	300	2641
102	304	2649
103	305	2632
104	306	2615
105	308	2599
106	309	2582
107	310	2566
108	312	2551
109	313	2535
110	314	2520
111	317	2519
112	319	2506
113	320	2492
114	322	2478
115	323	2461
116	324	2450
117	326	2437
118	327	2421
119	328	2407
120	329	2395
121	332	2392
122	334	2382
123	335	2371
124	337	2359
125	338	2347
126	339	2335
127	340	2319
128	366	2477
129	422	2825
130	425	2820
131	427	2814
132	430	2805
133	436	2823
134	444	2845
135	447	2841
136	451	2845
137	456	2853
138	458	2839
139	474	2914
140	476	2901
141	479	2897
142	482	2889
143	487	2895
144	488	2882
145	490	2870
146	493	2860
147	494	2848
148	496	2836
149	512	2902
150	513	2889
151	517	2887
152	524	2906
153	526	2892
154	543	2963
155	546	2957
156	548	2945
157	551	2936
158	554	2931
159	558	2933
160	566	2954
161	570	2950
162	575	2954
163	600	3059
164	602	3051
165	605	3043
166	607	3031
167	610	3021
168	619	3047
169	622	3037
170	624	3025
171	626	3014
172	630	3016
173	633	3007
174	636	3001
175	639	2992
176	644	2998
177	655	3026
178	657	3015
179	659	3005
180	660	2988
181	662	2975
182	664	2966
183	666	2956
184	670	2952
185	672	2944
186	674	2933
187	677	2925
188	679	2914
189	681	2903
190	683	2895
191	685	2884
192	688	2876
193	694	2885
194	697	2881
195	700	2873
196	703	2867
197	709	2872
198	711	2863
199	713	2853
200	715	2845
201	717	2836
202	719	2825
203	721	2814
204	723	2803
205	724	2793
206	726	2783
207	728	2772
208	729	2762
209	731	2751
210	733	2742
211	734	2731
212	736	2720
213	737	2709
214	739	2699
215	740	2688
216	742	2677
217	743	2667
218	745	2658
219	746	2647
220	748	2638
221	750	2631
222	752	2622
223	754	2614
224	756	2604
225	758	2596
226	759	2587
227	761	2578
228	763	2571
229	765	2561
230	767	2553
231	768	2544
232	769	2534
233	770	2523
234	772	2513
235	773	2504
236	775	2495
237	776	2485
238	777	2475
239	778	2466
240	779	2456
241	781	2446
242	782	2436
243	783	2427
244	784	2418
245	785	2408
246	789	2407
247	792	2401
248	793	2393
249	794	2384
250	796	2376
251	797	2367
252	798	2358
253	800	2349
254	801	2341
255	802	2333
256	804	2325
257	805	2317
258	807	2310
259	808	2302
260	810	2293
261	811	2285
262	812	2277
263	814	2269
264	815	2261
265	816	2253
266	817	2244
267	818	2236
268	819	2228
269	821	2220
270	822	2211
271	823	2203
272	824	2195
273	825	2187
274	826	2179
275	827	2171
276	828	2163
277	829	2155
278	830	2147
279	832	2139
280	833	2131
281	834	2124
282	835	2117
283	836	2109
284	837	2102
285	839	2094
286	840	2086
287	841	2079
288	842	2072
289	843	2065
290	844	2058
291	845	2050
292	846	2043
293	847	2036
294	849	2029
295	850	2022
296	851	2015
297	852	2008
298	853	2001
299	854	1994
300	855	1987
301	856	1980
302	857	1973
303	858	1966
304	860	1959
305	861	1953
306	862	1946
307	863	1939
308	864	1933
309	865	1926
310	866	1920
311	867	1913
312	868	1907
313	869	1900
314	871	1894
315	872	1887
316	873	1881
317	874	1875
318	875	1868
319	876	1862
320	877	1856
321	878	1849
322	879	1843
323	880	1837
324	882	1831
325	883	1825
326	884	1819
327	885	1813
328	886	1807
329	887	1801
330	888	1796
331	889	1790
332	890	1784
333	891	1778
334	892	1772
335	894	1766
336	895	1761
337	896	1755
338	897	1750
339	898	1744
340	899	1739
341	900	1733
342	902	1727
343	903	1722
344	904	1716
345	905	1711
346	906	1705
347	907	1700
348	908	1694
349	909	1688
350	910	1683
351	911	1678
352	912	1673
353	913	1667
354	915	1662
355	916	1657
356	917	1652
357	918	1646
358	919	1641
359	920	1636
360	921	1631
361	922	1626
362	923	1620
363	924	1615
364	925	1610
365	927	1605
366	928	1600
367	929	1595
368	930	1590
369	931	1585
370	932	1581
371	933	1576
372	934	1571
373	935	1566
374	936	1561
375	938	1556
376	939	1551
377	940	1547
378	941	1542
379	942	1537
380	943	1533
381	944	1528
382	945	1523
383	946	1519
384	948	1514
385	949	1509
386	950	1505
387	951	1500
388	952	1496
389	954	1492
390	955	1488
391	956	1483
392	957	1479
393	959	1475
394	960	1470
395	961	1466
396	962	1462
397	964	1458
398	965	1453
399	966	1449
400	967	1445
401	968	1441
402	969	1436
403	971	1432
404	972	1428
405	973	1424
406	974	1420
407	975	1415
408	976	1411
409	977	1407
410	979	1402
411	980	1398
412	981	1394
413	982	1390
414	983	1386
415	984	1382
416	985	1378
417	986	1374
418	987	1369
419	988	1365
420	990	1361
421	991	1357
422	992	1353
423	993	1349
424	994	1345
425	995	1341
426	996	1337
427	997	1333
428	998	1328
429	999	1324
430	1003	1324
431	1007	1324
432	1021	1337
433	1024	1335
434	1025	1331
435	1026	1327
436	1027	1323
437	1028	1319
438	1029	1315
439	1030	1312
440	1032	1308
441	1033	1304
442	1034	1300
443	1035	1296
444	1036	1293
445	1037	1289
446	1038	1285
447	1039	1281
448	1041	1277
449	1042	1273
450	1043	1270
451	1044	1266
452	1045	1262
453	1046	1259
454	1048	1255
455	1049	1251
456	1050	1247
457	1051	1244
458	1052	1240
459	1053	1236
460	1054	1232
461	1055	1229
462	1056	1225
463	1057	1221
464	1058	1218
465	1060	1214
466	1061	1211
467	1062	1207
468	1063	1204
469	1064	1200
470	1065	1197
471	1066	1193
472	1067	1189
473	1069	1186
474	1070	1182
475	1071	1179
476	1072	1175
477	1076	1175
478	1078	1173
479	1090	1181
480	1091	1178
481	1093	1174
482	1094	1171
483	1095	1167
484	1096	1164
485	1097	1160
486	1098	1157
487	1099	1153
488	1100	1150
489	1101	1146
490	1102	1143
491	1103	1139
492	1104	1136
493	1106	1132
494	1107	1129
495	1108	1126
496	1109	1122
497	1110	1119
498	1111	1116
499	1112	1112
500	1113	1109
501	1114	1105
502	1115	1102
503	1117	1099
504	1118	1096
505	1119	1092
506	1120	1089
507	1121	1086
508	1122	1082
509	1123	1079
510	1124	1076
511	1126	1073
512	1127	1070
513	1128	1066
514	1129	1063
515	1130	1060
516	1131	1057
517	1132	1053
518	1133	1050
519	1134	1047
520	1135	1044
521	1137	1041
522	1138	1038
523	1139	1035
524	1140	1032
525	1141	1028
526	1143	1025
527	1144	1022
528	1145	1019
529	1148	1018
530	1149	1015
531	1150	1011
532	1151	1008
533	1152	1006
534	1154	1003
535	1155	1000
536	1156	997
537	1157	994
538	1158	990
539	1159	988
540	1161	985
541	1162	982
542	1163	979
543	1164	976
544	1165	973
545	1166	970
